Feature,Correlation
DPC1_LW,-0.058722249
DPC1_LY,0.143294488
DPC1_MA,-0.033429665
DPC1_MC,-0.015014603
DPC1_MD,-0.029239749
DPC1_ME,-0.023711193
DPC1_MF,0.014973581
DPC1_MG,-0.022068088
DPC1_MH,-0.003832256
DPC1_MI,-0.018333475
DPC1_MK,0.021089734
DPC1_ML,0.002565659
DPC1_MM,0.010335891
DPC1_MN,0.009772211
DPC1_MP,0.022992312
DPC1_MQ,-0.016733291
DPC1_MR,-0.029633697
DPC1_MS,-0.002660679
DPC1_MT,-0.0451955
DPC1_MV,-0.023115157
DPC1_MW,-0.007317097
DPC1_MY,0.084970794
DPC1_NA,-0.025882997
DPC1_NC,-0.01301398
DPC1_ND,0.005701722
DPC1_NE,-0.015687585
DPC1_NF,-0.036137012
DPC1_NG,-0.008748991
DPC1_NH,0.009662304
DPC1_NI,0.040898058
DPC1_NK,-0.001513145
DPC1_NL,-0.005173772
DPC1_NM,-0.001183605
DPC1_NN,0.013551458
DPC1_NP,-0.036139537
DPC1_NQ,-0.022106854
DPC1_NR,-0.021764987
DPC1_NS,0.083435981
DPC1_NT,-0.0248207
DPC1_NV,-0.025402181
DPC1_NW,-0.044506054
DPC1_NY,-0.02516889
DPC1_PA,-0.00069427
DPC1_PC,-0.021037378
DPC1_PD,-0.017816277
DPC1_PE,-0.003083731
DPC1_PF,-0.025348418
DPC1_PG,-0.029531498
DPC1_PH,-0.044721711
DPC1_PI,-0.058453486
DPC1_PK,-0.055595476
DPC1_PL,0.013386058
DPC1_PM,0.001859376
DPC1_PN,0.002333535
DPC1_PP,0.059789789
DPC1_PQ,-0.027608393
DPC1_PR,-0.031339966
DPC1_PS,-0.042733596
DPC1_PT,0.003540777
DPC1_PV,-0.016026001
DPC1_PW,-0.021909884
DPC1_PY,-0.007964627
DPC1_QA,-0.012015788
DPC1_QC,-0.011211667
DPC1_QD,-0.011369302
DPC1_QE,-0.003632367
DPC1_QF,-0.006860081
DPC1_QG,-0.012128178
DPC1_QH,-0.035053969
DPC1_QI,-0.043294128
DPC1_QK,0.016203735
DPC1_QL,-0.019387544
DPC1_QM,0.008288478
DPC1_QN,-0.032605541
DPC1_QP,-0.0045291
DPC1_QQ,-0.015944218
DPC1_QR,0.039846109
DPC1_QS,-0.002357452
DPC1_QT,-0.000930821
DPC1_QV,0.050403947
DPC1_QW,-0.007102706
DPC1_QY,-0.028381458
DPC1_RA,0.003043103
DPC1_RC,4.85E-05
DPC1_RD,-0.000437574
DPC1_RE,-0.014194977
DPC1_RF,-0.011623331
DPC1_RG,-0.056266709
DPC1_RH,0.045821987
DPC1_RI,0.056662734
DPC1_RK,0.095069536
DPC1_RL,0.063686669
DPC1_RM,-0.011081215
DPC1_RN,-0.011739576
DPC1_RP,-0.030557583
DPC1_RQ,-0.007203423
DPC1_RR,0.028415182
DPC1_RS,-0.022298168
DPC1_RT,-0.000363798
DPC1_RV,-0.045634134
DPC1_RW,0.014186221
DPC1_RY,-0.027472005
DPC1_SA,-0.044101555
DPC1_SC,-0.035827276
DPC1_SD,-0.019079594
DPC1_SE,-0.003790013
DPC1_SF,-0.054251245
DPC1_SG,-0.007771668
DPC1_SH,-0.032390513
DPC1_SI,-0.019567724
DPC1_SK,0.045502312
DPC1_SL,-0.074374448
DPC1_SM,-0.03056442
DPC1_SN,-0.019735403
DPC1_SP,-0.017018725
DPC1_SQ,-0.0234251
DPC1_SR,-0.003392832
DPC1_SS,0.00209439
DPC1_ST,-0.072984118
DPC1_SV,-0.054518839
DPC1_SW,-0.001936203
DPC1_SY,-0.044213451
DPC1_TA,-0.076563927
DPC1_TC,-0.072937383
DPC1_TD,-0.011390439
DPC1_TE,-0.02017575
DPC1_TF,-0.025844835
DPC1_TG,-0.05331564
DPC1_TH,-0.027542908
DPC1_TI,-0.058208275
DPC1_TK,0.008530082
DPC1_TL,0.08441155
DPC1_TM,-0.018880002
DPC1_TN,-0.011584125
DPC1_TP,-0.067360667
DPC1_TQ,-0.017977878
DPC1_TR,-0.043452964
DPC1_TS,-0.040231494
DPC1_TT,-0.056485401
DPC1_TV,0.049898238
DPC1_TW,0.035330977
DPC1_TY,-0.013633494
DPC1_VA,0.011416351
DPC1_VC,-0.045323955
DPC1_VD,0.034925108
DPC1_VE,0.026398292
DPC1_VF,-0.027548495
DPC1_VG,-0.034127494
DPC1_VH,-0.033585637
DPC1_VI,0.002744207
DPC1_VK,0.095155102
DPC1_VL,-0.091414024
DPC1_VM,-0.031014977
DPC1_VN,0.031169888
DPC1_VP,-0.030470924
DPC1_VQ,0.083201182
DPC1_VR,-0.043060141
DPC1_VS,-0.00318333
DPC1_VT,0.010218969
DPC1_VV,-0.036171102
DPC1_VW,-0.002824047
DPC1_VY,0.09306865
DPC1_WA,0.003043104
DPC1_WC,-0.052143412
DPC1_WD,-0.047032079
DPC1_WE,-0.013831287
DPC1_WF,-0.047062156
DPC1_WG,0.019852196
DPC1_WH,0.032361523
DPC1_WI,-0.01498915
DPC1_WK,0.023813517
DPC1_WL,-0.021621315
DPC1_WM,-0.029926358
DPC1_WN,-0.030044221
DPC1_WP,-0.029333107
DPC1_WQ,-0.013147758
DPC1_WR,0.047434305
DPC1_WS,0.001766718
DPC1_WT,0.019471752
DPC1_WV,-0.007587483
DPC1_WW,0.050970754
DPC1_WY,-0.029521466
DPC1_YA,-0.044271371
DPC1_YC,-0.054708002
DPC1_YD,0.084970794
DPC1_YE,-0.009257405
DPC1_YF,-0.017517806
DPC1_YG,0.08434588
DPC1_YH,-0.006151602
DPC1_YI,-0.015592695
DPC1_YK,-0.053397147
DPC1_YL,-0.05431649
DPC1_YM,-0.018169469
DPC1_YN,-0.025784957
DPC1_YP,-0.015315223
DPC1_YQ,0.001598527
DPC1_YR,0.101399074
DPC1_YS,-0.032060838
DPC1_YT,-0.043326964
DPC1_YV,-0.027286083
DPC1_YW,0.007953073
DPC1_YY,0.029228522
ATC_C,-0.063094512
ATC_H,-0.135468196
ATC_N,0.119732168
ATC_O,0.072989405
ATC_S,-0.076410368
BTC_T,-0.202209599
BTC_H,-0.192674342
BTC_S,-0.19802695
BTC_D,-0.212051134
PCP_PC,0.236114756
PCP_NC,-0.049436349
PCP_NE,-0.232910097
PCP_PO,-0.105508317
PCP_NP,-0.147666629
PCP_AL,-0.081759303
PCP_CY,-0.074584793
PCP_AR,-0.042802559
PCP_AC,-0.049436349
PCP_BS,0.236114756
PCP_NE_pH,-0.232910097
PCP_HB,-0.154400615
PCP_HL,0.220040552
PCP_NT,-0.129974466
PCP_HX,-0.097923322
PCP_SC,-0.074257117
PCP_SS_HE,0.157247045
PCP_SS_ST,-0.084031298
PCP_SS_CO,-0.153474875
PCP_SA_BU,-0.167237866
PCP_SA_EX,0.165519281
PCP_SA_IN,-0.109736044
PCP_TN,-0.107659284
PCP_SM,-0.1266677
PCP_LR,0.1266677
PCP_Z1,0.117724343
PCP_Z2,0.082390434
PCP_Z3,-0.204037222
PCP_Z4,0.115959046
PCP_Z5,0.042876056
RRI_A,-0.051546144
RRI_C,-0.089817889
RRI_D,-0.032508998
RRI_E,-0.050446802
RRI_F,-0.127485532
RRI_G,-0.164531152
RRI_H,-0.059113663
RRI_I,-0.07825167
RRI_K,0.111928758
RRI_L,-0.028080624
RRI_M,-0.053215849
RRI_N,-0.069959212
RRI_P,-0.114511627
RRI_Q,-0.051985325
RRI_R,-0.032138347
RRI_S,-0.0802256
RRI_T,-0.080647147
RRI_V,-0.069587641
RRI_W,-0.08362759
RRI_Y,-0.0733845
PRI_PC,-0.049897485
PRI_NC,-0.047034224
PRI_NE,-0.007852551
PRI_PO,0.020449857
PRI_NP,0.076359075
PRI_AL,0.053250712
PRI_CY,-0.099752569
PRI_AR,-0.058130016
PRI_AC,-0.047034224
PRI_BS,-0.049897485
PRI_NE_pH,-0.007852551
PRI_HB,0.111844817
PRI_HL,0.005905015
PRI_NT,-0.00306597
PRI_HX,-0.015095184
PRI_SC,-0.071543612
PRI_SS_HE,0.206190464
PRI_SS_ST,0.160154618
PRI_SS_CO,0.000481654
PRI_SA_BU,0.084789042
PRI_SA_EX,-0.024841244
PRI_SA_IN,-0.01601668
PRI_TN,-0.013504312
PRI_SM,0.054381833
PRI_LR,0.176121207
DDR_A,-0.090077747
DDR_C,-0.071508083
DDR_D,-0.037682417
DDR_E,-0.062948375
DDR_F,-0.128419822
DDR_G,-0.134508735
DDR_H,-0.057204467
DDR_I,-0.109889675
DDR_K,-0.132198271
DDR_L,-0.096319468
DDR_M,-0.065991137
DDR_N,-0.084362917
DDR_P,-0.122453515
DDR_Q,-0.061616244
DDR_R,-0.102945001
DDR_S,-0.072067736
DDR_T,-0.101915446
DDR_V,-0.081131731
DDR_W,-0.151993193
DDR_Y,-0.115329124
SER_A,0.026338716
SER_C,0.08632953
SER_D,0.030001809
SER_E,0.049252763
SER_F,0.114253217
SER_G,0.128151754
SER_H,0.041994478
SER_I,0.071401238
SER_K,-0.154446665
SER_L,0.025216997
SER_M,0.032675587
SER_N,0.055167632
SER_P,0.098568612
SER_Q,0.03647516
SER_R,0.008129896
SER_S,0.089450456
SER_T,0.053520755
SER_V,0.050045764
SER_W,0.045963784
SER_Y,0.038568286
SEP,-0.198783861
CTC_111,-0.034779741
CTC_112,-0.112162032
CTC_113,-0.028555478
CTC_114,-0.046297799
CTC_115,-0.047697568
CTC_116,0.065820272
CTC_117,-0.000866374
CTC_121,-0.094853669
CTC_122,-0.058164329
CTC_123,-0.072128871
CTC_124,-0.073827185
CTC_125,-0.054741519
CTC_126,-0.040287175
CTC_127,-0.037596907
CTC_131,-0.045094022
CTC_132,-0.026877154
CTC_133,-0.026981491
CTC_134,0.023031748
CTC_135,0.021639828
CTC_136,-0.001259162
CTC_137,-0.050840945
CTC_141,-0.041002138
CTC_142,0.019571888
CTC_143,-0.028907745
CTC_144,-0.00671819
CTC_145,0.055060723
CTC_146,-0.007564188
CTC_147,0.001255451
CTC_151,0.018630104
CTC_152,0.010703012
CTC_153,-0.051159982
CTC_154,-0.051291321
CTC_155,0.071754363
CTC_156,-0.020146431
CTC_157,0.001635269
CTC_161,0.003437438
CTC_162,0.027293858
CTC_163,-0.054519137
CTC_164,-0.013706679
CTC_165,-0.013072012
CTC_166,-0.014650073
CTC_167,-0.025197672
CTC_171,-0.038268053
CTC_172,-0.036432136
CTC_173,-0.073763376
CTC_174,0.048485648
CTC_175,0.000204638
CTC_176,
CTC_177,
CTC_211,-0.148115572
CTC_212,-0.074340688
CTC_213,-0.046769334
CTC_214,0.028026699
CTC_215,0.026930296
CTC_216,-0.013488265
CTC_217,-0.064808153
CTC_221,-0.118435366
CTC_222,-0.0936136
CTC_223,-0.093586426
CTC_224,-0.067767604
CTC_225,-0.005738171
CTC_226,-0.050664166
CTC_227,-0.076419569
CTC_231,-0.093339436
CTC_232,-0.071778869
CTC_233,-0.048731346
CTC_234,-0.038610603
CTC_235,0.048344536
CTC_236,-0.024105693
CTC_237,-0.026437318
CTC_241,-0.03528123
CTC_242,-0.048741469
CTC_243,0.008291396
CTC_244,-0.084241779
CTC_245,-0.088786568
CTC_246,-0.025151993
CTC_247,-0.015670757
CTC_251,-0.029393088
CTC_252,-0.089633675
CTC_253,0.032494442
CTC_254,-0.037413947
CTC_255,0.133530996
CTC_256,0.039298957
CTC_257,-0.044111497
CTC_261,-0.043016292
CTC_262,-0.034564132
CTC_263,0.005944282
CTC_264,-0.039821916
CTC_265,-0.032197341
CTC_266,-0.001457947
CTC_267,-0.017816277
CTC_271,-0.069362502
CTC_272,-0.039441976
CTC_273,-0.054972341
CTC_274,-0.038321498
CTC_275,-0.0138373
CTC_276,-0.018493261
CTC_277,-0.015565564
CTC_311,-0.037703795
CTC_312,-0.115393222
CTC_313,0.00424389
CTC_314,-0.012484179
CTC_315,0.016154207
CTC_316,0.034462141
CTC_317,-0.037461401
CTC_321,-0.019044984
CTC_322,-0.093070282
CTC_323,0.000486057
CTC_324,-0.064387534
CTC_325,0.012463854
CTC_326,-0.015069605
CTC_327,-0.029173468
CTC_331,-0.073124072
CTC_332,-0.0670873
CTC_333,0.02883586
CTC_334,-0.032962207
CTC_335,0.000732797
CTC_336,0.019857164
CTC_337,-0.012514968
CTC_341,-0.02177773
CTC_342,-0.041855659
CTC_343,0.001092362
CTC_344,-0.018423968
CTC_345,0.019283691
CTC_346,-0.000433399
CTC_347,-0.016681026
CTC_351,-0.010465588
CTC_352,0.055795568
CTC_353,-0.007857212
CTC_354,0.007072715
CTC_355,0.011684329
CTC_356,-0.014788915
CTC_357,-0.011064582
CTC_361,-0.013392194
CTC_362,-0.02239376
CTC_363,-0.019929388
CTC_364,-0.014754224
CTC_365,-0.011268945
CTC_366,-0.007099092
CTC_367,0.084970794
CTC_371,-0.06172162
CTC_372,-0.041441723
CTC_373,-0.07076692
CTC_374,-0.057980886
CTC_375,-0.032228634
CTC_376,-0.017919826
CTC_377,
CTC_411,-0.076048806
CTC_412,-0.016922965
CTC_413,-0.026555382
CTC_414,0.056641473
CTC_415,0.039373628
CTC_416,-0.012477904
CTC_417,-0.037598071
CTC_421,-0.002313051
CTC_422,-0.068201325
CTC_423,-0.00673268
CTC_424,-0.042262266
CTC_425,0.001614473
CTC_426,-0.011495584
CTC_427,-0.026925487
CTC_431,0.027971148
CTC_432,-0.022156291
CTC_433,-0.051406848
CTC_434,-0.020086758
CTC_435,-0.014273042
CTC_436,-0.032411779
CTC_437,0.026201104
CTC_441,-0.025362549
CTC_442,-0.097386232
CTC_443,-0.037574095
CTC_444,0.005010019
CTC_445,0.066513447
CTC_446,0.005543203
CTC_447,-0.013943149
CTC_451,0.033931635
CTC_452,-0.033533457
CTC_453,-0.026232715
CTC_454,0.011518219
CTC_455,0.014498424
CTC_456,-0.020820259
